No.,Name,Address,Address 2,City,Salesperson Code,Location Code,Post Code,Phone No.,Fax No.,Contact,Salesperson Code,Customer Posting Group
C0061,DEVASHI FASHION,"NO.159,D.S.DE JAYASINGHE MW,",NUGEGODA.,Nugegoda,CN001,VAN1,87,2810467,,,CN001,CN
C0062,DILSHARD,NO 74 KURUNAGALA ROAD,NARAMMALA,,CE1004,VAN13,,0372249294/077-7633436,,001 888 106033534040001,CE1004,CE-1
C0063,DINESH TEX,,RANNA,,BAD DEBT,VAN11,,,,,BAD DEBT,SN
C0064,DESIGN CENRE-Sellepperuma,"NO.59, GALLE ROAD,",KALUTARA - SOUTH,Kalutara,A SELL,VAN12,57,777762080,,Mr.M.L.M.Fazil(A/C-334194420116/520/119,A SELL,CS
C0065,DRESS DIYANA,NO56 1 1 YATIYANTOTA ROAD,AVISSAWELLA,Awissawela,CT001,VAN3,5,362230583,,Ishara A C H J Canisiyas 2250017955 50017955,CT001,SCT
C0066,DUBAI CENTRE,"NO:142/3, MAIN STREET,",DHARGATOWN,Kalutara,BAD DEBT,VAN1,57,777740967,,,BAD DEBT,CN
C0067,EMMA FASHIONS PVT LTD,NO 25 COLOMBO RD,KANDANA,kandana,CN003,VAN1,58,777635339,,Mr Indika Nettasinghe A C 1310017444,CN003,CN
C0068,EMZIYA FASHION,"NO.51,CHILOW ROAD,",WARIYAPOLA.,,CE1004,VAN13,,74698142,,A/C-7566242001/153010003593,CE1004,CE-1
C0069,EUSEBIUS TAILORS,NO 25 STATION ROAD,KALUTARA SOUTH,Kalutara,CT001,VAN3,57,342225053,,A C 2998522002,CT001,SCT
C0070,FAHD ESTABLISHMENT,NO 174 A KUMARTUNGA MW,MATARA,Matara,SN003,VAN11,77,777393047,,Mr M H M Mume,SN003,SN
C0071,FAMILY CHOICE SAINTHAMARUTHU,NO 10 MAIN STREET,SAINTHAMARUTHU,,ET006,VAN14,,672221394,,A C 091010003622 2111,ET006,ET
C0072,FANTACY FASHION,"NO.60, MAIN STREET,",PELMADULLA,,SPK,SPK,,777295191,,Mr.Ahamed Shiraz,SPK,PK
C0073,FARMILAS,"NO.34, COLOMBO ROAD,",PUTTALAM.,Puttalam,SPK,SPK,96,322265310,,,SPK,PK
C0074,FASHION CITY- BRW,"NO.167/1-10, GALLE ROAD,",BERUWALA,Beruwala,SPK,SPK,13,777476617,,Mr.A.C.M.Arees,SPK,PK
C0075,FASHION CITY-GAMPOLA,"NO.38,STATION ROAD",GAMPOLA.,Gampola,CE1004,VAN13,43,0774486022/08351162,,1102013137-COM BANK,CE1004,CE-1
C0076,CASH SALES-Central 2,,,,CE2004,VAN7,,,,,CE2004,CE-2
C0077,FASHION CORNER-GALGAMUWA,,GALGAMUWA,,SPK,SPK,,,,,SPK,PK
C0078,FASHION CORNER- KALAWANA,"NO.32,RATHNAPURA ROAD",KALAWANA,,BAD DEBT,VAN7,,,,,BAD DEBT,CE-2
C0079,FASHION COURT,"NO:143, S.U BUILDING,MAIN STREET",GALLE.,Galle,KYM,SPK,41,744380795,,,KYM,PK
C0080,FASHION DAY,"NO.470/1, MAIN STREET,",KADUWELA,kaduwela,CS001,VAN12,55,,,,CS001,CS
C0081,FASHION GATE-NGB,"NO:60, GREEN'S ROAD,",NEGOMBO.,Negombo,NW003,VAN15,86,75318901,,Mr. Shifan(024010010838),NW003,NW
C0082,FASHION PARK-KEKIRAWA,"NO:24,MAIN STREET,",KEKIRAWA,,NW001,VAN15,,252264430,,,NW001,NW
C0083,FASHION PARK NAWALAPITIYA,NO 20 GAMPOLA RD,NAWALAPITIYA,Nawalapitiya,CE1004,VAN13,85,542224400,,M S Nagoor Meera A C 230120005017 23010002681,CE1004,CE-1
C0084,FASHION PARK - MATARA,"NO.41,OLD THANGALLE ROAD,KOTUWEGODA,",MATARA,Matara,BAD DEBT,VAN11,77,412226164,,,BAD DEBT,SN
C0085,FAVOURITES - Central 2,"NO.10-12, MAIN STREET,",RATHNAPURA.,Rathnapura,ET006,VAN14,100,452222847,045-2231470,Mr.Ilham(A/C-30010004981/7091,ET006,ET
C0086,FAZEEL TEXTILES,NO 65 A 1 MAWADI ROAD,NINTHAWU 03,,ET006,VAN14,,672250354,,Mr Ameer A C 159001 7064150 3399,ET006,ET
C0087,FAZILA EMPORIUM,,AMPARA,,BAD DEBT,VAN14,,,,,BAD DEBT,ET
C0088,FR MARATHAMUNAI ASIAN FASHION,"NO. 241,MAIN STREET",MARATHAMUNAI,,MAINSTORES,,,672223543,,,MAINSTORES,FRANCHISE
C0089,FRIENDSHIP EMPORIUM-Sellepperuma,"NO: 27/ 5 A, VILINAYADY JUNCTION,",SAMMANTHURAI,,A SELL,VAN14,,672260183,,M.T.Issadeen(A/C-00101339650001),A SELL,ET
C0090,GANI FASHION,"NO.30, 1ST FLOOR, SHOPPING COMPLEX,",KURUNEGALA,Kurunegala,BAD DEBT,VAN13,71,773939259,,Mr. Ramzeez,BAD DEBT,CE-1
C0091,GEEBEES & KHALEES,PARAKUMBA STREET,KURUNEGALA,Kurunegala,CE1004,VAN13,71,3722689,,019010002931 123,CE1004,CE-1
C0092,GENTS CORNER - BATICALO-X FORCE,"NO.19, TRINCO RD,",BATTICALO,,AX FORCE-2,VAN14,,0776282985/0652227759,,A/C-10002980,AX FORCE-2,ET
C0093,GILTS & GLAMOUR,"NO:351, NEW KANDY ROAD,",DELGODA,,AX FORCE-1,VAN12,,778467417,,Mr. Sandya,AX FORCE-1,CS
C0094,GLAMOURETTE,"NO.451, GALLE ROAD,",COLOMBO 03,Colombo 3,BAD DEBT,VAN12,19,78619166,,,BAD DEBT,CS
C0095,GOLD CITY,"NO.63, TRINCO ROAD,",ERAVUR,,ET006,VAN14,,,,Mr.N.Munafdeen,ET006,ET
C0096,GREEN PARK,"NO.40, GROUND FLOOR,NEE SHOPPING COMPLEX",KURUNEGALA,Kurunegala,AX FORCE-1,VAN13,71,716047646,,Mr. Almas,AX FORCE-1,CE-1
C0097,GULF TEX,"NO:B22,MAIN STREET,",KATTANKUDY.,,BAD DEBT,VAN14,,,,,BAD DEBT,ET
C0098,HABAYA'S,"#B2,AHAMAD SHOPING COMPLEX,THANIPOLGAHA JUNCTION",GALLE.,Galle,SPK,SPK,41,342275635,,,SPK,PK
C0099,HAJI EMPORIUM,"NO:13 A,OLD TANGALLE ROAD,KOTUWEGODA",MATARA.,Matara,BAD DEBT,VAN11,77,412225569,,,BAD DEBT,SN
C0100,NEW DAY,,WELIGAMA,,SPK,SPK,,,,,SPK,PK
C0101,HAMEED SON,"NO.11, MAIN STREET,",PUTTALAM.,,BAD DEBT,VAN15,,322267230,,,BAD DEBT,NW
C0102,HANNA,"NO.316/5, THALANGAMA -NORTH, KOSWATTE,",BATTARAMULLA.,,BAD DEBT,VAN12,,112789306,,,BAD DEBT,CS
C0103,HAPPY CORNER,,BERUWALA,,SPK,SPK,,,,,SPK,PK
C0104,HAPPY WORLD FASHION,NO 4 44 COLOMBO ROAD,CHILOW 61000,,NW003,VAN15,,772228408,,nikitha Mr Sudath Nandasiri A C 1430026999,NW003,NW
C0105,HARSHA TAILORS - Accessories,"NO.599, ELDENIYA,",KADAWATA.,,CN002,VAN1,,2929181,,K.A.Harischadra(A/C-084010004262/2111098001),CN002,CN
C0106,HASSAN TEX,"03RD CROSS STREET,",NINTHAVUR-06,,ET006,VAN14,,672251089,,U.L. Abdul Hasan(7063572/159010002596/10063197002),ET006,ET
C0107,HAWARD FASHION,"NO.416, ST.ANTHONY MW,KURANA,",KATUNAYAKE,,NW001,VAN15,,722806534,,,NW001,NW
C0108,HEMANTHA TEXTILES PVT LTD,NO 8 2 1 S K PLAZA BUILDING,MAHARAGAMA,,CT001,VAN3,,112844350,,A C 607812 242,CT001,SCT
C0109,HEMARA RICH LOOK,NO 55 MAIN STREET,GALLE,,SN003,VAN11,,0912224602/091-223003,,Mr Hemantha Gamage Chandima 0754011197,SN003,SN
C0110,HERCULE S TAILORS Material,NO 74 HAVELOCK ROAD,COLOMBO 5,,CT001,VAN3,,586287 01 841488,,L Jayathissa 32684901 5710 028 73301518 1192453001,CT001,SCT
C0111,LINGOMS SILK HOUSE,"NO.18, MODEL MARKET,",JAFFNA.,,SNO001,VAN2,,212222138,,,SNO001,SNO
C0112,HIGH TEX,"NO.18, ST YEHIYA MAWATHA",MATARA,,SN003,VAN11,,602419700,,Mr.M.F.M.Rishan,SN003,SN
C0113,HOUSE OF STYLE,,GAMPOLA,,BAD DEBT,VAN13,,412253926,,,BAD DEBT,CE-1
C0114,HOUSE OF P MART,MEDA MAWATHA,WELIGAMA,,SN003,VAN11,,,,,SN003,SN
C0115,I.B.H TEX,,PALAMUNAI,,ET006,VAN14,,672255290,,A/C-0007369451(BOC)/708790001/9001,ET006,ET
C0116,INDIKA DRESS POINT,,ANURADAPURA,,NW003,VAN15,,,,A/C-10020660/3333/751,NW003,NW
C0117,IYNE TEX,"NO.226, MAIN STREET,",NEGOMBO.,,NW003,VAN15,,312235913,,Mr. Fainudeen-01192765501/29288,NW003,NW
C0118,JALDEEN TEX,"HIJRA JUNCTION,AMPARA RD",SAMMANTHURAI,,ET006,VAN14,,0672261372/0776984737,,78001,ET006,ET
C0119,JALDEEN FANCY,"HIJRA JUNCTION,POLICE ROAD",SAMMANTHURAI.,,BAD DEBT,VAN14,,602671065,,,BAD DEBT,ET
C0120,JAWULI POONGA,"MAIN STREET,",AKKARAIPATTU-01,,ET006,VAN14,,672278055,,5459/2213/001,ET006,ET
C0121,JAZEEMA'S,"NO:132, MAIN STREET,",MARUTHAMUNAI,,ET006,VAN14,,672220773,,A/C-0009615148/6104396,ET006,ET
C0122,JUMANAS,,DELTOTA,,SPK,SPK,,,,,SPK,PK
C0123,JUNAID'S,"NO.17-19, YATINUWARA VEEDIYA",KANDY,,CE1004,VAN13,,812225232,,A/C-1040030109/8161/918/176,CE1004,CE-1
C0124,K. MART - Material,"NO.142-1/4, 1ST FLOOR, GALLE ROAD,",COLOMBO 06,,CT001,VAN3,,112360732,,A/C-009010267481/135,CT001,SCT
C0125,YOUNG SHINE-Sellepperuma,"NO.14, SUPER MARKET,",BERUWELA.,,A SELL,VAN11,,714023336,,A/C-4123108/116,A SELL,SN
C0126,YORK FASHION,"NO.70B,COLOMBO ROAD,",KURUNEGALA,,AX FORCE-1,VAN13,,,,,AX FORCE-1,CE-1
C0127,WISHWADARA,"NO:114,LOWER STREET,",BADULLA,,CE2001,VAN7,,,,,CE2001,CE-2
C0128,WINSIRI TEX,,AVISSAWELLA,,BAD DEBT,VAN7,,,,,BAD DEBT,CE-2
C0129,WIMAL TAILORS,"NO.181, NEW TANGALLE ROAD,KOTUWEGODA,",MATARA.,,SN003,VAN11,,412224953,,A/C -001010010000(SAM)/3491,SN003,SN
C0130,WILLS PANADURA - Accessories,"NO.194,GALLE ROAD,",PANADURA,,CS001,VAN12,,,,A/C-06901001489,CS001,CS
C0131,WILASITHA Nawalapitiya,NO 05 KOTMALE RD,NAWALAPITIYA,,CE1004,VAN13,,544459056,,M S Nagoor Meera(A C 230120005017,CE1004,CE-1
C0132,WICK S,NO 22 TALBOT TOWN,GALLE,,SN003,VAN11,,0712984984/091-2222536,,Gamini Wickramasinghe,SN003,SN
C0133,VINOLI FASHION,"NO.4,SAGARA BUILDING,",TISSAMAHARAMA,,BAD DEBT,VAN11,,,,,BAD DEBT,SN
C0134,VIJAYA S,NO 10 NEW BAZAAR STREET,NUWARAELIYA,,CE1004,VAN13,,522222460,,Nawarathnam Subramania 361 363 19 884001 363 576,CE1004,CE-1
C0135,UPUL'S INTERNATIONAL TAILORS,"C 28, 3rd FLOOR, COMMERCIAL CENTRE,",BANDARAWELA,,KYM,VAN7,,773550099,,,KYM,CE-2
C0136,UNLIMITED DESIGN,MAIN STREET,KULIYAPITIYA,,AX FORCE-1,VAN15,,777829672,,Mr. Sujeewa,AX FORCE-1,NW
C0137,U.K.G.FASHIONS,"NO.05,OLD MATARA ROAD,",GALLE,,BAD DEBT,VAN11,,0777906004/041-4381854,,Mr.Buddika,BAD DEBT,SN
C0138,U.K.FASHION-BER,"SUPER MARKET,",BERUWALA,,SPK,SPK,,,,,SPK,PK
C0139,U.K FASHION,"NO.24, BELIATTA RD,",DIKWELLA,,KYM,VAN11,,777538974,,,KYM,SN
C0140,U.D.A.,,KIRIELLA.,,SPK,SPK,,,,,SPK,PK
C0141,TOMORROW FASHION-NEG,,NEGOMBO,,AX FORCE-1,VAN15,,112910512,,,AX FORCE-1,NW
C0142,THILAKAWARDHANA TEXTILES PVT LTD,NO 76 1 KANDY ROAD,KIRIBATHGODA,,CN003,VAN1,,112910512,,A C 0886191001 101000232239,CN003,CN
C0143,TEXSHIMA TEXTILES,"NO:75,RATHNAPURA ROAD,",HORANA,,BAD DEBT,VAN12,,,,,BAD DEBT,CS
C0144,SUPER STYLE,NO 12 SHANTHI MAWATHA,GAMPAHA,,CN003,VAN1,,0334925570/033-2223548,332223548,A C11033524178001 011034383339 001,CN003,CN
C0145,SUNANDA-Sellepperuma,"NO.35,KANDY RD,",KIRIBATHGODA,,A SELL,VAN1,,,,A/C-71519781,A SELL,CN
C0146,SUMUDU FASHION,,MEERIGAMA,,KYM,VAN13,,,,,KYM,CE-1
C0147,STYLISH OTTAMAWADI,AHMED MENSION MAIN STREET,ODDAMAVADI,,ET006,VAN14,,060654066/077-7060914/077-5920786,,Mr Rizvi A C 807001 1159000024 012450002877 75001,ET006,ET
C0148,STYLISH- MARAWILA,"HATTANIYA, CHILOW ROAD,",MARAWILA,,BAD DEBT,VAN15,,,,,BAD DEBT,NW
C0149,STYLE COLLECTION,"NO:05, HOLY CROSS RD,",GAMPAHA,,CN001,VAN1,,,,,CN001,CN
C0150,STYLE A'PURA,"NO.08,WILL CITY BUILDING, NEW BUS STAND,",ANURADAPURA,,NW003,VAN15,,0253892507/077 7395215,,,NW003,NW
C0151,STYLE-MATHUGAMA,"NO.60, AGALAWATTE RD,",MATHUGAMA,,BAD DEBT,VAN11,,,,,BAD DEBT,SN
C0152,STYLE-MATHUGAMA,"NO.33, KALUTARA RD,",MATHUGAMA,,BAD DEBT,VAN11,,,,,BAD DEBT,SN
C0153,STC (PVT) LTD-MATARA,"NO.48,ESPLANADE ROAD",MATARA,,SN002,VAN11,,0412229771/077-3590456,,Mr.Dayaranjan Heagoda,SN002,SN
C0154,SRIYANI TEXTILE-KEGALLA,"NO.80,MAIN STREET",KEGALLE,,CE1004,VAN13,,352222516,,A/C 0009396937/6410000545/24860,CE1004,CE-1
C0155,SITHARA TAILOR,NO 235 COLOMBO ROAD,PUWAKPITIYA,,CT001,VAN3,,352231322,,Mr Hiran A C 10002380 7425,CT001,SCT
C0156,SIRISARA VILASITHA MANDIRAYA,"PUTTALAM ROAD,",KURUNEGALA,,CE1004,VAN13,,773693988,,0640001/74413465/1160038530/3931/338,CE1004,CE-1
C0157,SIGNATURE SHOW ROOM - Matara,"NO.59,OLD TANGALLE RD,",MATARA,,MAINSTORES,MAINSTORES,,,,,MAINSTORES,FRANCHISE
C0158,SHIRAZ,"NO.47,DE.SILVA MAWATHA,",KURUNEGALA.,,KYM,VAN13,,,,,KYM,CE-1
C0159,C K N VENTURES (PVT) LTD - Accessories,"NO.06, PARK CIRCUS,",COLOMBO 05,,SCO01,VAN1,,0112595393/0777286405,,Mr.Denham Cramer (A/C-1020023710/6993,SCO01,CN
C0160,SENA CENTRE,"NO.1, DHARMAPALA MAWATHA,",COL-3,,BAD DEBT,VAN1,,,,,BAD DEBT,CN
C0161,SEEMATHI TEXTILE-Sellepperuma,"NO.122, POWER HOUSE ROAD",JAFFNA,,A SELL,VAN2,,,,Mr.Satkunarajah(A/C-6700197),A SELL,SNO
C0162,SEA SONS,"NO:51/10,DHARMAPALA MAWATTA,",COL-07,,BAD DEBT,VAN1,,,,,BAD DEBT,CN
C0163,SAREE SELECTION -GAMPOLA,"NO:28B-87, JEYARATNE SUPERMARKET",GAMPOLA.,,SPK,SPK,,,,,SPK,PK
C0164,NAMMA SHOP,"MAIN STREET,",MUTTUR,,BAD DEBT,VAN15,,0773429449/026-2238560,,Mr A.J.Sahir,BAD DEBT,NW
C0165,SARASWATHY STORES,"NO.90, COLOMBO STREET,",KANDY.,,CE1004,VAN13,,,,017001863459-001,CE1004,CE-1
C0166,SARAF GENTS WEAR,"NO.183, AMAPARA RD,",SAINTHAMARUTHU,,ET006,VAN14,,,,,ET006,ET
C0167,SANDY CHOICE,"NO:72,BADGAMUWA ROAD, KALGALUWA,",RAJAGIRIYA,,BAD DEBT,VAN12,,,,,BAD DEBT,CS
C0168,SAMPATH TRADE CENTRE,"NO:47, RATHNAPURA ROAD,",AWISSAWELLA,,AX FORCE-1,VAN7,,,,,AX FORCE-1,CE-2
C0169,SAMAN TAILORS,"NO.27, 7TH CROSS ST,",PANADURA,,AX FORCE-1,VAN12,,,,,AX FORCE-1,CS
C0170,SALU MAHAL,,HIKKADUWA,,SN002,VAN11,,,,,SN002,SN
C0171,SALMAN FARIS,"EGODAWATTE,CHINA FORT",BERUWALA,,SPK,SPK,,773002150,,,SPK,PK
C0172,SAFNAS TEXTILES,MAIN STREET,MARUTHAMUNAI,,ET006,VAN14,,,,,ET006,ET
C0173,S.R.SELECTION - Eastern,"NO.54B, AMPARA RD,",SAMMANTHURAI.,,ET006,VAN14,,,,,ET006,ET
C0174,RUBEENAS,"NO.72, BOPITIYA ROAD,",DELTOTA.,,SPK,SPK,,773441200,,Mr.M.I.M.Ilham,SPK,PK
